math,science,english,arts,commerce,coding_skill,communication,creativity,analytical,leadership,interest_tech,interest_science,interest_arts,interest_business,stress_tolerance,career_label
96,82,54,44,35,45,74,64,96,54,94,91,41,35,57,Mechanical Engineer
82,86,62,51,37,43,84,50,78,66,52,86,27,31,88,Doctor
90,85,71,43,57,67,75,76,95,45,99,86,30,49,69,Data Scientist
90,94,66,31,39,43,73,51,88,85,50,92,37,35,75,Doctor
62,45,61,94,56,58,70,97,61,65,65,22,88,48,52,Graphic Designer
84,92,55,32,47,82,76,46,85,43,91,85,25,41,70,Software Engineer
77,93,59,57,63,59,52,60,86,59,85,87,48,48,57,Mechanical Engineer
93,94,56,40,42,90,62,55,95,63,90,81,32,47,59,Data Scientist
56,68,98,64,70,36,98,63,70,74,43,30,41,75,71,Lawyer
81,61,83,62,40,48,87,88,76,73,32,71,57,51,67,Teacher
85,78,71,51,56,46,72,60,88,45,97,81,20,30,55,Mechanical Engineer
68,67,71,47,95,57,85,81,73,80,83,48,64,85,71,Entrepreneur
66,58,78,48,85,63,96,75,81,89,76,50,60,87,93,Entrepreneur
64,77,95,54,48,34,82,70,71,90,37,65,79,40,60,Teacher
78,85,65,35,51,48,81,61,81,69,62,98,45,30,81,Doctor
84,82,59,35,49,84,67,58,93,57,89,84,43,41,62,Data Scientist
81,90,71,45,66,98,52,65,91,62,83,76,46,38,63,Software Engineer
71,72,90,68,61,42,97,66,81,77,36,67,76,59,66,Psychologist
56,55,97,45,67,40,98,56,81,79,38,35,57,64,77,Lawyer
56,60,88,56,61,18,90,74,82,60,27,62,61,30,89,Psychologist
81,49,84,51,93,55,94,75,65,96,81,35,65,99,77,Entrepreneur
63,55,77,61,60,29,98,79,66,78,33,78,59,47,80,Psychologist
68,63,84,52,94,58,79,85,79,87,73,57,71,87,90,Entrepreneur
70,95,77,47,50,49,85,52,76,60,65,85,36,30,66,Doctor
87,66,60,32,97,49,70,47,94,56,47,42,29,81,79,Accountant
78,56,79,55,74,44,89,92,75,91,56,54,59,99,68,Entrepreneur
76,89,72,58,51,51,63,66,91,58,85,93,43,35,81,Mechanical Engineer
74,60,86,57,52,38,80,75,74,70,59,52,59,46,84,Teacher
76,87,62,52,57,48,74,78,86,61,81,87,48,47,82,Mechanical Engineer
90,83,78,53,47,80,55,68,83,65,91,87,31,46,74,Software Engineer
91,68,75,34,59,98,72,64,81,56,86,60,26,53,70,Software Engineer
80,85,61,39,52,51,56,65,78,64,80,87,37,38,80,Mechanical Engineer
98,78,58,34,50,98,77,70,97,52,95,83,32,53,81,Software Engineer
75,83,82,35,44,76,58,68,88,54,87,85,23,50,87,Software Engineer
63,50,88,49,77,18,82,64,84,75,38,35,51,72,76,Lawyer
91,88,84,59,52,89,65,55,76,56,90,67,39,32,88,Software Engineer
64,61,83,64,44,30,86,64,87,62,42,70,69,50,84,Psychologist
64,67,71,63,89,65,81,98,66,95,67,42,50,85,73,Entrepreneur
59,55,86,54,55,38,83,79,70,75,42,43,61,70,69,Lawyer
92,69,68,39,54,75,65,50,97,59,85,83,48,45,89,Software Engineer
85,95,58,55,37,50,73,65,83,73,94,97,47,32,55,Mechanical Engineer
58,59,69,90,35,55,66,88,47,49,54,28,93,59,50,Graphic Designer
79,88,52,52,41,74,67,67,97,71,89,99,32,45,63,Mechanical Engineer
97,72,57,32,46,78,52,54,82,42,86,77,30,30,88,Software Engineer
66,37,79,86,51,53,77,85,64,63,54,46,96,36,50,Graphic Designer
90,85,73,35,45,47,64,55,81,45,96,83,48,55,77,Mechanical Engineer
80,91,76,54,38,40,78,49,82,74,61,99,24,53,67,Doctor
85,98,52,49,44,73,50,74,85,70,91,88,44,37,65,Mechanical Engineer
81,91,59,57,40,61,67,59,92,74,96,96,35,37,78,Mechanical Engineer
40,36,67,88,41,50,78,91,45,57,68,30,97,46,78,Graphic Designer
68,54,79,94,52,37,77,98,41,49,60,46,92,37,56,Graphic Designer
83,73,81,65,88,57,85,98,71,89,61,39,56,95,93,Entrepreneur
51,63,83,59,49,29,82,78,67,65,28,83,67,56,77,Psychologist
72,74,87,67,45,25,95,74,81,81,42,78,58,51,86,Psychologist
77,71,66,37,59,86,52,56,83,49,85,84,20,51,71,Software Engineer
55,58,62,85,44,50,70,97,68,45,73,20,89,53,61,Graphic Designer
59,76,79,72,44,37,94,68,75,80,49,84,71,50,73,Psychologist
70,58,76,62,44,30,90,77,86,73,32,82,69,46,85,Psychologist
81,89,52,45,35,71,65,78,86,63,87,97,31,44,56,Mechanical Engineer
79,66,63,35,57,88,68,53,82,56,82,88,29,46,86,Software Engineer
84,78,67,42,47,58,67,55,95,60,94,96,44,34,83,Mechanical Engineer
74,76,99,74,51,31,89,66,80,72,27,61,70,59,70,Psychologist
81,77,89,66,53,26,99,80,75,77,33,64,78,44,59,Teacher
62,68,94,40,57,41,97,72,71,69,53,30,49,79,89,Lawyer
92,63,72,51,83,53,56,44,86,74,61,36,39,92,77,Accountant
82,79,55,36,60,94,69,50,88,61,95,73,31,39,83,Software Engineer
55,74,81,63,39,28,84,67,71,72,37,67,65,57,90,Psychologist
97,87,70,44,55,77,63,75,88,52,78,83,34,48,73,Data Scientist
68,67,97,61,61,44,96,66,67,70,55,72,73,40,59,Teacher
72,73,97,64,64,33,81,71,71,87,35,71,75,37,82,Teacher
46,56,62,86,38,37,78,99,43,64,58,32,86,55,65,Graphic Designer
91,98,70,52,40,36,73,52,76,75,40,97,20,35,70,Doctor
77,67,86,55,87,47,89,83,79,86,74,47,57,80,84,Entrepreneur
60,55,81,63,62,44,86,79,93,78,33,44,64,81,77,Lawyer
55,74,75,66,41,22,88,61,81,79,37,64,64,41,81,Psychologist
92,96,58,41,53,69,67,59,76,51,89,89,44,36,82,Mechanical Engineer
97,72,55,41,46,94,70,79,84,58,81,88,21,37,71,Data Scientist
90,90,75,40,39,34,76,62,71,71,58,96,35,30,67,Doctor
70,62,67,70,84,50,85,99,84,90,73,62,45,84,74,Entrepreneur
68,69,76,49,70,61,89,82,65,97,67,63,45,84,82,Entrepreneur
81,46,88,55,72,49,80,80,84,81,80,60,68,89,87,Entrepreneur
82,50,72,67,99,65,87,82,83,85,83,57,59,89,91,Entrepreneur
75,71,83,56,52,77,68,70,85,61,97,62,25,32,89,Software Engineer
72,69,77,77,54,43,92,67,89,66,48,67,72,38,70,Psychologist
92,61,74,28,94,43,75,40,98,48,37,31,39,84,84,Accountant
65,58,85,78,49,22,80,76,77,84,44,65,68,55,61,Teacher
68,69,86,70,48,33,92,70,73,73,49,61,73,32,83,Teacher
76,58,86,62,43,40,80,65,61,78,30,60,72,51,69,Teacher
70,69,87,62,56,27,87,79,90,84,40,33,68,75,79,Lawyer
89,71,75,48,54,67,79,72,88,56,95,87,22,38,58,Data Scientist
69,64,73,58,92,53,85,75,68,85,76,60,66,84,67,Entrepreneur
92,91,73,31,58,73,57,72,91,59,98,92,27,43,67,Data Scientist
83,70,71,37,60,81,56,66,82,48,94,61,26,47,81,Software Engineer
71,57,88,60,74,25,85,78,83,65,31,53,48,70,83,Lawyer
71,87,65,39,38,27,80,48,89,87,59,99,28,32,92,Doctor
69,68,83,74,74,64,95,81,75,93,77,55,60,97,85,Entrepreneur
76,62,82,68,48,30,92,77,78,88,55,65,73,34,70,Teacher
74,90,78,37,39,30,82,59,73,70,51,89,49,34,89,Doctor
89,91,71,51,58,93,71,61,94,65,86,99,28,39,58,Data Scientist
87,83,76,30,52,85,76,46,94,42,80,67,36,43,64,Software Engineer
84,82,77,57,45,90,77,40,77,54,99,69,40,44,82,Software Engineer
65,74,89,55,62,23,94,75,72,68,54,42,51,80,68,Lawyer
68,65,87,62,41,27,80,65,71,75,54,74,74,59,66,Psychologist
63,62,76,61,78,68,93,88,78,96,56,42,49,86,86,Entrepreneur
96,91,61,49,47,82,72,71,85,57,85,81,31,44,87,Software Engineer
70,68,78,59,35,15,85,64,66,84,45,64,63,48,85,Psychologist
52,56,98,77,43,22,83,61,78,61,26,81,61,41,70,Psychologist
75,86,75,31,48,20,94,69,80,79,44,91,20,43,78,Doctor
91,89,75,44,53,23,89,68,85,69,50,94,48,29,75,Doctor
92,84,67,59,62,45,68,70,81,59,80,97,40,38,56,Mechanical Engineer
95,80,60,34,67,72,70,52,81,55,93,83,35,56,80,Data Scientist
68,63,74,66,84,40,85,88,74,98,78,55,60,87,66,Entrepreneur
61,59,75,74,49,48,88,67,69,73,42,50,74,46,77,Teacher
80,96,72,37,30,28,71,53,82,75,41,88,31,40,74,Doctor
94,85,67,49,69,85,78,56,99,43,85,82,25,59,84,Data Scientist
99,54,83,37,99,43,75,31,78,51,53,59,49,91,70,Accountant
78,88,64,49,57,76,53,55,89,57,86,74,41,61,70,Software Engineer
66,65,89,63,51,25,85,68,82,79,26,63,72,57,65,Psychologist
66,59,89,57,66,36,95,77,75,88,49,53,60,83,69,Lawyer
93,51,82,35,83,56,78,31,81,63,48,48,49,81,66,Accountant
93,69,73,49,81,46,74,33,87,62,37,48,24,75,63,Accountant
88,96,63,57,54,47,81,55,90,81,56,88,49,44,90,Doctor
93,94,70,41,49,76,67,52,98,51,83,60,30,63,61,Software Engineer
70,73,76,72,50,22,96,74,57,91,32,65,79,36,56,Teacher
67,73,84,56,52,41,94,75,68,80,31,46,66,44,71,Teacher
74,70,91,65,49,34,95,62,70,80,47,72,55,58,85,Psychologist
64,50,70,83,59,43,60,89,48,59,54,23,97,50,51,Graphic Designer
83,87,68,37,58,22,87,47,85,89,54,89,34,40,89,Doctor
73,88,67,30,37,42,81,62,94,74,52,94,42,42,65,Doctor
56,70,86,53,79,36,93,64,73,67,49,52,66,73,88,Lawyer
80,71,83,46,93,40,90,96,82,82,78,35,50,98,86,Entrepreneur
72,99,73,37,33,45,79,41,83,67,62,95,29,49,82,Doctor
63,66,96,66,42,24,95,79,72,68,37,79,71,48,81,Psychologist
89,89,79,33,54,25,72,45,82,82,46,92,48,28,65,Doctor
77,61,76,68,48,48,83,78,59,94,36,52,69,56,73,Teacher
42,38,70,83,59,54,79,97,60,56,72,44,96,59,66,Graphic Designer
82,86,59,52,38,60,69,60,83,67,84,95,43,35,71,Mechanical Engineer
61,59,83,76,38,30,81,75,80,80,48,83,76,40,65,Psychologist
96,93,57,46,51,98,79,69,94,46,89,77,41,36,87,Software Engineer
62,54,87,51,69,33,95,68,76,72,31,59,57,83,65,Lawyer
80,75,63,39,40,53,56,79,76,55,93,79,28,36,79,Mechanical Engineer
57,76,96,79,58,16,80,73,89,63,28,68,57,34,65,Psychologist
84,91,60,54,64,92,56,61,88,67,94,86,32,61,76,Data Scientist
69,53,90,45,58,23,88,57,92,69,39,57,48,61,62,Lawyer
70,66,89,57,66,22,82,74,93,67,30,31,42,76,68,Lawyer
89,84,57,55,41,56,74,65,87,59,96,96,41,47,81,Mechanical Engineer
66,75,80,60,64,36,98,79,79,78,26,67,61,56,72,Psychologist
97,93,72,32,52,70,53,57,86,67,91,91,25,44,84,Mechanical Engineer
89,68,58,57,49,85,67,62,89,42,86,66,36,51,79,Software Engineer
59,72,86,73,42,15,93,82,70,73,26,68,66,34,66,Psychologist
92,61,77,50,93,54,61,36,88,70,58,44,31,86,62,Accountant
84,56,89,69,70,62,86,85,77,82,81,59,52,82,81,Entrepreneur
57,67,90,79,44,43,93,65,84,81,50,66,60,56,81,Psychologist
46,48,71,87,62,50,71,96,67,67,54,24,98,40,56,Graphic Designer
92,70,64,54,61,76,71,73,93,44,93,79,34,47,71,Data Scientist
62,49,80,67,76,55,83,75,67,87,72,58,68,97,88,Entrepreneur
90,99,78,54,57,42,70,47,79,72,44,90,28,34,78,Doctor
97,56,67,32,85,32,56,43,82,50,38,34,40,87,63,Accountant
80,60,85,66,58,47,91,85,75,93,56,71,67,47,83,Teacher
66,46,83,46,91,68,87,98,88,95,71,45,53,88,93,Entrepreneur
71,67,82,78,46,29,98,80,84,76,33,80,72,57,66,Psychologist
67,65,78,74,45,24,92,81,72,72,33,60,55,44,86,Psychologist
84,86,55,44,42,95,69,71,97,51,98,75,46,37,83,Software Engineer
58,62,58,92,47,49,78,91,42,69,75,39,86,52,74,Graphic Designer
51,35,72,98,56,54,63,99,48,45,61,37,91,49,78,Graphic Designer
82,58,82,51,79,47,98,88,82,84,68,56,69,89,90,Entrepreneur
92,93,69,48,36,47,63,76,99,48,96,80,47,48,63,Mechanical Engineer
64,53,93,44,56,28,97,78,80,80,42,56,55,80,63,Lawyer
77,72,80,71,84,68,85,87,82,87,63,56,55,96,65,Entrepreneur
75,63,92,62,50,44,89,74,60,85,54,56,58,34,56,Teacher
66,61,71,50,74,56,82,75,80,96,84,37,57,87,80,Entrepreneur
96,52,62,51,89,31,76,33,88,55,48,42,46,78,56,Accountant
74,73,84,52,81,60,87,89,75,96,75,58,71,91,84,Entrepreneur
90,77,67,50,62,87,64,67,91,46,85,84,22,64,61,Data Scientist
93,80,67,33,56,49,55,69,80,52,88,95,41,35,76,Mechanical Engineer
83,56,76,72,54,30,89,67,71,78,59,59,68,48,71,Teacher
62,61,61,98,64,51,68,95,44,41,64,43,96,44,59,Graphic Designer
59,64,96,42,72,25,85,66,91,81,54,43,45,69,75,Lawyer
81,62,81,58,48,30,83,71,75,76,33,56,71,49,83,Teacher
99,93,58,39,39,54,71,55,99,69,83,95,24,52,61,Mechanical Engineer
68,66,95,66,62,29,98,75,74,91,53,57,58,44,66,Teacher
99,50,68,47,87,52,72,54,89,45,48,47,38,93,84,Accountant
61,48,67,59,71,63,93,83,74,98,82,39,58,89,80,Entrepreneur
90,92,67,52,60,57,71,66,83,74,84,83,49,42,70,Mechanical Engineer
79,66,92,40,65,19,88,61,76,66,43,49,57,69,84,Lawyer
78,87,55,59,47,69,52,77,81,45,90,76,24,53,76,Mechanical Engineer
85,59,77,30,92,53,67,30,90,48,51,47,35,75,60,Accountant
68,49,71,98,40,43,76,99,44,67,67,42,88,55,73,Graphic Designer
74,61,80,66,78,32,91,56,70,65,49,58,40,81,71,Lawyer
59,65,77,62,51,21,91,75,79,80,53,72,72,47,88,Psychologist
94,78,58,45,60,68,74,76,86,54,96,91,37,41,84,Data Scientist
51,62,96,73,47,35,80,64,86,70,35,72,56,48,80,Psychologist
87,91,63,57,52,90,68,53,82,58,82,82,40,47,75,Software Engineer
92,78,77,52,46,94,62,59,80,66,94,95,40,35,73,Data Scientist
95,86,69,46,50,96,54,60,98,48,95,89,31,47,81,Software Engineer
93,71,75,33,54,98,57,55,75,64,95,89,44,63,61,Software Engineer
83,82,58,47,47,77,78,57,93,69,99,75,28,60,78,Data Scientist
62,37,64,80,61,38,78,98,40,55,68,39,89,56,67,Graphic Designer
56,42,66,88,45,37,66,97,60,42,70,35,94,57,56,Graphic Designer
84,69,79,51,81,50,73,57,93,48,62,49,24,81,58,Accountant
92,86,52,50,48,59,68,64,83,54,99,97,23,48,64,Mechanical Engineer
76,72,68,35,48,75,54,48,88,66,88,63,48,49,74,Software Engineer
81,65,67,74,83,59,76,86,74,92,84,54,48,98,86,Entrepreneur
99,75,80,45,58,93,61,42,97,57,96,64,35,53,73,Software Engineer
64,68,97,58,44,25,90,67,87,82,33,67,66,46,87,Psychologist
51,52,78,89,60,63,76,87,63,50,65,27,98,60,73,Graphic Designer
55,59,97,65,62,26,84,55,77,69,41,44,43,72,76,Lawyer
76,99,77,53,37,30,83,57,82,65,52,94,20,35,71,Doctor
98,73,64,34,69,85,71,71,89,41,99,83,43,43,64,Software Engineer
74,57,88,64,79,63,98,98,88,87,70,62,69,95,66,Entrepreneur
74,70,85,69,40,28,85,78,69,70,28,68,63,46,72,Psychologist
83,72,79,79,41,34,90,88,71,85,44,67,57,49,84,Teacher
71,73,93,69,59,32,96,69,88,73,43,82,72,40,75,Psychologist
68,44,59,90,63,64,80,97,66,59,51,33,93,44,59,Graphic Designer
92,73,60,35,40,72,76,51,87,59,83,78,36,41,64,Data Scientist
73,71,82,56,96,53,94,97,69,80,67,48,46,95,69,Entrepreneur
78,90,59,38,50,64,71,71,92,59,99,83,25,35,65,Mechanical Engineer
78,47,83,61,78,60,99,95,87,96,79,35,48,94,76,Entrepreneur
58,77,77,63,63,35,83,76,89,65,40,77,67,36,67,Psychologist
47,63,72,93,54,62,64,87,49,50,66,27,93,42,69,Graphic Designer
82,88,55,48,56,75,72,60,86,40,86,78,44,42,69,Data Scientist
60,47,74,90,42,59,73,98,55,53,50,21,96,54,50,Graphic Designer
47,44,76,90,54,51,70,89,49,65,75,39,89,54,58,Graphic Designer
87,93,73,58,54,25,83,55,71,78,44,95,30,45,93,Doctor
63,69,88,78,39,30,84,81,77,75,39,64,75,59,87,Psychologist
67,53,65,60,75,62,82,89,76,89,70,49,55,86,72,Entrepreneur
73,67,84,76,40,27,90,81,89,74,26,74,73,46,84,Psychologist
71,91,82,49,57,47,77,42,94,80,69,97,34,54,66,Doctor
73,53,71,51,95,57,90,82,80,98,69,59,59,85,73,Entrepreneur
53,63,79,55,45,33,82,60,68,68,52,75,61,34,77,Psychologist
76,91,77,32,63,94,75,63,92,70,93,60,33,34,89,Software Engineer
93,58,67,54,85,51,61,36,76,69,38,42,48,84,63,Accountant
72,59,85,73,40,45,89,77,58,90,59,54,66,43,81,Teacher
98,74,82,59,69,95,73,68,76,61,93,69,29,37,73,Software Engineer
53,73,92,60,57,24,86,71,72,72,54,77,68,40,92,Psychologist
93,89,76,51,56,65,79,64,94,68,75,89,21,63,58,Data Scientist
92,55,84,43,99,30,71,49,92,52,47,33,38,77,60,Accountant
59,43,74,83,63,58,72,99,59,41,77,39,86,59,76,Graphic Designer
96,88,69,36,49,62,62,66,76,56,85,98,48,30,75,Mechanical Engineer
75,78,65,41,50,80,72,51,95,70,91,69,27,56,79,Software Engineer
76,90,80,53,56,20,88,57,71,87,66,96,36,45,85,Doctor
73,58,93,71,45,39,88,75,76,84,38,73,65,55,64,Teacher
57,53,73,98,40,50,66,91,67,62,77,38,85,56,68,Graphic Designer
79,86,62,32,45,77,57,66,78,73,89,74,32,44,81,Software Engineer
86,66,71,32,97,57,72,46,97,55,49,59,39,99,60,Accountant
73,98,64,46,56,31,75,51,84,82,58,94,21,53,76,Doctor
87,92,61,59,50,67,55,61,98,53,89,79,46,50,58,Mechanical Engineer
64,50,67,86,63,51,78,93,46,51,62,48,97,48,64,Graphic Designer
84,59,62,47,87,36,72,39,97,54,53,52,20,76,82,Accountant
92,93,59,42,48,68,68,79,86,51,98,81,30,56,69,Data Scientist
92,72,72,40,52,86,64,65,99,42,82,65,22,38,70,Software Engineer
77,68,97,60,61,25,89,65,92,73,27,53,44,82,60,Lawyer
99,51,72,33,81,37,68,51,98,62,64,56,20,97,83,Accountant
71,87,62,37,50,44,88,55,91,63,47,96,20,28,71,Doctor
69,59,96,63,56,24,93,70,81,70,31,70,67,56,83,Psychologist
91,46,82,33,92,46,67,45,75,51,47,43,40,91,84,Accountant
82,60,93,63,40,45,95,73,77,84,48,54,70,54,57,Teacher
67,55,74,82,35,53,80,97,53,61,77,35,98,63,53,Graphic Designer
95,61,69,30,86,47,56,50,83,49,42,53,24,98,69,Accountant
42,59,59,97,59,64,76,85,55,54,62,26,87,58,72,Graphic Designer
84,45,62,40,94,33,66,30,91,68,49,59,43,94,74,Accountant
84,82,79,33,61,91,77,59,87,48,80,98,37,44,78,Data Scientist
65,66,81,60,82,40,77,98,70,99,75,60,74,82,79,Entrepreneur
76,91,62,40,39,57,72,67,82,55,87,84,44,56,65,Mechanical Engineer
60,73,93,64,79,41,97,78,72,65,47,30,53,86,60,Lawyer
79,95,69,54,47,26,94,57,82,70,49,90,28,39,78,Doctor
79,93,68,31,53,67,64,62,98,71,87,75,33,40,61,Mechanical Engineer
90,90,81,30,51,94,69,64,84,40,95,70,23,64,84,Software Engineer
80,74,68,56,54,95,61,72,99,61,85,71,39,47,71,Software Engineer
99,91,67,46,52,82,76,69,86,62,90,90,41,60,60,Data Scientist
81,47,63,40,91,54,58,51,86,51,54,51,22,79,66,Accountant
78,51,96,55,78,34,92,74,80,72,49,50,44,61,84,Lawyer
64,43,58,85,62,46,74,87,65,61,73,21,99,62,68,Graphic Designer
88,90,70,54,44,73,63,55,89,57,85,98,43,49,61,Data Scientist
83,86,59,38,55,67,56,79,86,60,94,81,27,36,65,Mechanical Engineer
81,67,95,75,61,48,91,80,68,80,57,53,77,39,70,Teacher
90,46,61,25,90,34,60,32,94,49,54,38,47,93,59,Accountant
57,56,80,61,41,27,80,67,89,82,37,83,74,57,88,Psychologist
68,57,80,55,56,32,92,71,63,94,54,62,55,51,76,Teacher
72,72,98,63,78,39,99,73,94,89,42,35,55,62,80,Lawyer
70,57,67,63,89,50,85,95,66,94,76,42,46,87,88,Entrepreneur
67,56,80,48,58,28,88,57,84,69,25,40,58,64,81,Lawyer
57,59,76,83,62,37,61,92,43,57,60,28,96,42,70,Graphic Designer
75,88,50,39,64,55,69,56,97,46,90,82,22,38,80,Mechanical Engineer
64,57,90,64,62,39,99,64,86,87,35,41,49,79,76,Lawyer
85,78,55,46,56,92,77,53,85,55,81,79,28,58,73,Data Scientist
78,64,71,66,98,50,92,99,78,95,60,36,67,90,75,Entrepreneur
63,68,88,55,99,47,90,90,67,91,78,47,45,83,85,Entrepreneur
83,89,61,33,37,49,74,71,79,71,83,95,26,36,61,Mechanical Engineer
65,70,80,69,37,23,80,70,86,65,48,64,79,54,92,Psychologist
64,52,70,59,94,42,83,85,84,93,77,43,54,94,82,Entrepreneur
50,39,66,93,46,53,68,96,46,55,77,47,91,48,57,Graphic Designer
92,89,71,45,62,86,57,62,86,59,79,85,42,52,58,Data Scientist
74,51,75,61,74,48,90,85,89,96,60,49,73,82,92,Entrepreneur
53,60,87,76,63,44,88,73,76,63,32,76,76,34,67,Psychologist
86,89,65,46,39,30,82,68,79,73,67,97,47,28,84,Doctor
82,58,75,66,79,49,83,76,78,86,71,58,64,87,88,Entrepreneur
71,61,95,42,56,40,86,60,70,79,51,41,52,67,68,Lawyer
63,59,69,65,83,55,89,85,66,97,58,49,56,82,68,Entrepreneur
54,44,72,84,47,38,68,86,42,63,60,23,93,60,78,Graphic Designer
82,94,61,56,57,35,73,58,74,66,48,89,27,26,86,Doctor
84,65,86,79,58,38,90,77,78,70,35,66,79,45,56,Teacher
85,87,69,55,56,24,83,66,84,87,42,93,48,25,65,Doctor
81,70,85,53,88,69,99,95,88,90,57,57,70,83,69,Entrepreneur
79,67,83,49,57,40,84,66,92,69,29,33,69,84,65,Lawyer
82,66,77,44,66,76,77,50,88,60,89,66,41,43,72,Software Engineer
68,79,90,60,42,36,81,73,63,85,57,45,79,46,64,Teacher
55,56,58,98,36,38,61,91,54,56,63,30,85,39,72,Graphic Designer
92,72,62,35,55,84,73,72,88,49,97,80,22,54,62,Data Scientist
75,69,83,69,54,21,99,78,65,72,31,62,68,53,83,Teacher
78,90,58,47,61,91,52,67,80,73,91,74,28,58,61,Software Engineer
65,55,81,63,64,29,84,72,76,67,54,50,66,84,75,Lawyer
81,89,66,49,57,27,88,45,84,65,48,88,35,47,74,Doctor
79,50,75,68,84,61,80,94,88,89,78,59,66,97,80,Entrepreneur
64,74,85,67,65,18,99,66,89,70,25,54,69,77,61,Lawyer
91,55,63,37,97,37,61,51,97,72,50,32,41,90,70,Accountant
80,64,74,55,90,64,76,96,89,89,83,55,56,90,86,Entrepreneur
66,70,72,55,82,42,93,88,86,95,69,36,50,86,73,Entrepreneur
54,71,93,78,37,22,88,81,87,81,32,73,77,39,81,Psychologist
67,77,79,69,41,24,95,82,66,77,39,82,73,49,78,Psychologist
69,71,81,74,39,26,96,61,68,61,38,73,67,46,90,Psychologist
74,62,92,68,36,38,91,83,65,80,39,70,72,46,67,Psychologist
82,85,61,39,56,40,82,50,83,75,67,97,25,26,90,Doctor
66,72,94,58,63,23,95,86,65,78,46,66,65,49,57,Teacher
69,67,85,63,93,60,91,83,78,84,57,56,52,97,91,Entrepreneur
89,97,77,39,30,29,78,62,94,72,54,86,45,37,69,Doctor
81,76,63,39,62,60,52,62,97,72,96,78,40,59,73,Mechanical Engineer
81,53,71,28,98,39,65,36,87,53,46,58,21,96,75,Accountant
90,60,74,46,85,59,78,42,91,48,46,47,46,82,66,Accountant
79,73,77,61,78,64,87,90,84,89,64,54,72,95,87,Entrepreneur
57,72,87,60,75,28,99,57,93,75,46,43,61,61,63,Lawyer
91,97,70,47,31,30,77,58,94,75,43,98,41,41,75,Doctor
69,60,75,73,78,63,79,99,75,88,71,62,66,90,85,Entrepreneur
83,86,59,36,39,70,72,62,86,45,89,85,46,52,74,Mechanical Engineer
82,60,77,39,85,46,56,31,91,63,39,33,47,92,62,Accountant
